video_id,subgroup,mean_visual_score,mean_transcript_score,mean_union_score,mean_visual_pct,mean_transcript_pct,total_segments,pct_hands_on
DOWDNBu9DkU,verbally_embodied,7.4419,11.5271,17.5736,7.7519,13.1783,129,8.5271
DQOt-m7rg80,verbally_embodied,89.0926,24.9444,89.0926,94.4444,25.9259,54,27.7778
DeSDjjicGWY,verbally_embodied,20.25,0.0,20.25,21.875,0.0,96,10.4167
DkbfBIMSdgo,verbally_embodied,74.359,56.2051,81.7949,82.0513,64.1026,39,58.9744
ERLMO-nay30,visually_embodied,66.5714,22.1286,69.2429,74.2857,25.7143,35,42.8571
E_RDCFOlJx4,conventional,34.8127,18.3429,41.8381,37.4603,21.2698,105,0.0
EdUAecpYVWQ,conventional,75.6316,34.2421,81.1579,82.1053,41.0526,95,0.0
FNG9f2qJdWk,visually_embodied,72.0588,3.2353,72.0588,79.4118,2.9412,34,50.0
FXSpHy8LvmY,conventional,42.0333,30.7,54.6778,44.4444,34.4444,90,0.0
GbdF6th5PZk,visually_embodied,39.9635,0.0,39.9635,45.3125,0.0,48,54.1667
Gpm-TI21x9s,verbally_embodied,33.8131,28.7477,48.5047,36.4486,31.7757,107,23.3645
GqCn94Ksdbo,verbally_embodied,59.5082,13.1803,64.7377,66.3934,17.2131,61,13.1148
GrvvkYTW_0k,conventional,31.2022,18.7273,37.0983,34.3228,22.0779,49,0.0
HWMq1WjvgfE,verbally_embodied,75.75,6.8706,77.7324,81.1765,8.8235,170,66.4706
ILeLo1lWjBk,conventional,11.729,11.271,21.4299,14.0187,12.1495,107,3.7383
IiilGiJZDsI,conventional,17.8986,3.1884,20.5072,18.8406,5.7971,69,0.0
K4aI2t5T00c,visually_embodied,55.5154,0.0,55.5154,60.2241,0.2801,51,52.9412
KDwqqlqdYFQ,verbally_embodied,84.7414,10.0862,84.7414,91.3793,15.5172,58,67.2414
