Label,VideoID,DurationSec,TotalComments,UniqueCorrelated,PctCorrelated,Engagement,TopTopicID,TopTopicCount,TopTopicAvgScore,TopTopicPct
Emb,hRnofMxEf3Q,1489.921,34,4,0.11764705882352941,1.3692001119522443,T6,4,80.0,0.11764705882352941
Emb,HWMq1WjvgfE,1699.361,165,58,0.3515151515151515,5.825719196803975,T3,51,81.27450980392157,0.3090909090909091
Emb,K4aI2t5T00c,506.381,350,3,0.008571428571428572,41.47075028486456,T1,2,85.0,0.005714285714285714
Emb,lV6zevUF-v0,828.761,19,0,0.0,1.3755473532176345,None,0,0.0,0.0
Emb,lWgYgef-hQ8,516.001,69,2,0.028985507246376812,8.023240265038245,T1,2,80.0,0.028985507246376812
Emb,LYJDlz5w77Y,1022.888533,20,3,0.15,1.1731483551590463,T4,3,83.33333333333333,0.15
Emb,muGlauyfOGsT,506.601,1,0,0.0,0.11843640261270703,None,0,0.0,0.0
Emb,N5DbiWFjbh8,1073.121,116,38,0.3275862068965517,6.485755101242077,T1,29,80.17241379310344,0.25
Emb,NQvVeLHzfSs,132.541,26,15,0.5769230769230769,11.769942885597665,T1,13,80.0,0.5
Emb,nxMkX0wtLm4,341.861,104,1,0.009615384615384616,18.25303266532304,T1,1,80.0,0.009615384615384616
Emb,P4GsoMTv-SY,1216.141,335,88,0.2626865671641791,16.52768881239922,T1,65,80.38461538461539,0.19402985074626866
Emb,PfFkm0Kgkn0,382.361,15,1,0.06666666666666667,2.353796543057477,T1,1,80.0,0.06666666666666667
Emb,PWyqVEkZGWk,877.981,35,19,0.5428571428571428,2.391851304299296,T2,16,81.25,0.45714285714285713
Emb,qNLvoSQCx60,623.661,410,50,0.12195121951219512,39.44450590946043,T6,30,81.5,0.07317073170731707
Emb,r0kBl1__VEQ,843.301,79,28,0.35443037974683544,5.620768859517539,T1,16,80.3125,0.20253164556962025
Emb,R2UqeJbK2yc,424.701,170,9,0.052941176470588235,24.01689659313258,T1,9,83.33333333333333,0.052941176470588235
Emb,re-dSV_a0tM,1440.801,194,49,0.25257731958762886,8.07883947887321,T2,30,80.16666666666667,0.15463917525773196
Emb,rw3I118gQa8,594.481,365,0,0.0,36.838856077822506,None,0,0.0,0.0
