video_id,duration_seconds,total_comments,unique_correlated,pct_correlated,engagement,top_topic_id,top_topic_count,top_topic_avg_score,top_topic_pct
dV8rpGUoxns,1019.921,215,94,0.4372093023255814,12.64803842650558,T2,83,81.32530120481928,0.386046511627907
ERLMO-nay30,344.201,84,2,0.023809523809523808,14.64260708132748,T1,1,80.0,0.011904761904761904
fcmXG3wB_1M,578.361,118,6,0.05084745762711865,12.241489312038674,T1,5,82.0,0.0423728813559322
FNG9f2qJdWk,341.461,86,7,0.08139534883720931,15.11153543157198,T2,6,80.0,0.06976744186046512
GbdF6th5PZk,485.161,104,1,0.009615384615384616,12.861709824161462,T1,1,75.0,0.009615384615384616
gdJHi9I0V4w,581.461,225,5,0.022222222222222223,23.217378293643083,T3,3,83.33333333333333,0.013333333333333334
Gpm-TI21x9s,1048.221,94,13,0.13829787234042554,5.380544751536174,T3,10,79.0,0.10638297872340426
GqCn94Ksdbo,603.481,31,9,0.2903225806451613,3.082118575398397,T2,8,81.875,0.25806451612903225
h50JwrVl2nQ,366.561,61,8,0.13114754098360656,9.984695589547169,T1,7,79.28571428571429,0.11475409836065574
hnPi6i8Ua1M,365.441,19,8,0.42105263157894735,3.119518609023071,T2,8,82.5,0.42105263157894735
hRnofMxEf3Q,1489.921,34,4,0.11764705882352941,1.3692001119522443,T6,4,80.0,0.11764705882352941
HWMq1WjvgfE,1699.361,165,58,0.3515151515151515,5.825719196803975,T3,51,81.27450980392157,0.3090909090909091
jLXW6qVdfq4,233.181,427,0,0.0,109.87173054408377,None,0,0.0,0.0
K4aI2t5T00c,506.381,350,3,0.008571428571428572,41.47075028486456,T1,2,85.0,0.005714285714285714
KDwqqlqdYFQ,581.901,27,0,0.0,2.783978718029356,None,0,0.0,0.0
lV6zevUF-v0,828.761,19,0,0.0,1.3755473532176345,None,0,0.0,0.0
lWgYgef-hQ8,516.001,69,2,0.028985507246376812,8.023240265038245,T1,2,80.0,0.028985507246376812
